# Measured: Groundwaterlevel(meter_below_SoilSurface)
# Location: Cranendonck,,
# Reference: 
"Date","property","value"
1977-11-01,"Gwl",-1.5
1977-11-15,"Gwl",-1.12
1977-12-05,"Gwl",-1.1
1978-01-05,"Gwl",-1
1978-02-01,"Gwl",-1.1
1978-03-10,"Gwl",-1.35
1978-04-05,"Gwl",-1.1
1978-05-07,"Gwl",-1.3
1978-06-05,"Gwl",-1.5
1978-07-07,"Gwl",-1.5
1978-08-20,"Gwl",-1.6
1978-10-10,"Gwl",-1.75
1978-12-01,"Gwl",-1.7
1979-02-01,"Gwl",-1.02
1979-03-25,"Gwl",-0.65
1979-05-10,"Gwl",-1
1979-06-17,"Gwl",-1.32
1979-07-15,"Gwl",-1.57
1979-08-23,"Gwl",-1.7
1979-10-01,"Gwl",-1.8
1979-11-01,"Gwl",-1.82
1979-11-28,"Gwl",-1.8
1979-12-31,"Gwl",-1.3
1980-02-05,"Gwl",-1
1980-03-25,"Gwl",-1.38
1980-04-20,"Gwl",-1.5
1980-05-25,"Gwl",-1.8
1980-07-25,"Gwl",-0.8
1980-08-23,"Gwl",-1.5
1980-09-25,"Gwl",-1.7
1980-10-27,"Gwl",-1.68
1980-12-05,"Gwl",-1.4
1980-12-20,"Gwl",-1.27
1981-01-13,"Gwl",-1
1981-02-05,"Gwl",-1.08
1981-02-15,"Gwl",-1.17
1981-03-15,"Gwl",-0.8
1981-10-14,"Gwl",-1.39
1981-10-21,"Gwl",-1.28
1981-11-10,"Gwl",-1.29
1981-11-17,"Gwl",-1.22
1981-11-24,"Gwl",-1.14
1981-12-01,"Gwl",-0.82
1982-01-05,"Gwl",-0.71
1982-02-16,"Gwl",-1.09
1982-05-27,"Gwl",-1.43
1982-06-04,"Gwl",-1.53
1982-06-09,"Gwl",-1.28
1982-06-18,"Gwl",-1.44
1982-06-23,"Gwl",-1.455
1982-07-02,"Gwl",-1.435
1982-07-07,"Gwl",-1.42
1982-07-16,"Gwl",-1.604
1982-07-30,"Gwl",-1.74
1982-08-04,"Gwl",-1.786
1982-08-27,"Gwl",-1.725
1982-09-01,"Gwl",-1.744
1982-09-10,"Gwl",-1.803
1982-09-15,"Gwl",-1.825
1982-11-30,"Gwl",-1.15
1982-12-30,"Gwl",-1.1
1983-01-01,"Gwl",-1.03
1983-02-27,"Gwl",-1.2
1983-03-29,"Gwl",-0.75
