soil,texture,SPU,comment,ORES, OSAT,ALFAD,NPAR,KSAT,LEXP,ALFAW, H_ENPR
topsoil,sand,b1,topsoil_sand_b1,0.01,0.43,0.0249,1.507,17.46,-0.140,0.0498,0.0
topsoil,sand,b2,topsoil_sand_b2,0.02,0.43,0.0227,1.548,9.65,-0.983,0.0454,0.0
topsoil,sand,b3,topsoil_sand_b3,0.01,0.45,0.0152,1.412,17.81,-0.213,0.0304,0.0
topsoil,sand,b4,topsoil_sand_b4,0.01,0.42,0.0163,1.559,54.80,0.177,0.0326,0.0
topsoil,loam,b7,topsoil_loam_b7,0.00,0.40,0.0194,1.250,14.07,-0.802,0.0388,0.0
topsoil,loam,b8,topsoil_loam_b8,0.00,0.43,0.0096,1.284,2.25,-2.733,0.0192,0.0
topsoil,loam,b9,topsoil_loam_b9,0.00,0.43,0.0065,1.325,1.54,-2.161,0.0130,0.0
topsoil,clay,b10,topsoil_clay_b10,0.01,0.42,0.0118,1.224,1.17,-4.795,0.0236,0.0
topsoil,clay,b11,topsoil_clay_b11,0.00,0.60,0.0243,1.111,5.26,-5.395,0.0486,0.0
topsoil,clay,b12,topsoil_clay_b12,0.00,0.55,0.0532,1.081,15.46,-8.823,0.1064,0.0
topsoil,silt,b14,topsoil_silt_b14,0.01,0.42,0.0051,1.305,0.80,0.000,0.0102,0.0
topsoil,peat,b16,topsoil_peat_b16,0.00,0.73,0.0134,1.320,13.44,0.534,0.0268,0.0
topsoil,peat,b17,topsoil_peat_b17,0.00,0.72,0.0180,1.140,4.46,-0.350,0.0360,0.0
topsoil,peat,b18,topsoil_peat_b18,0.00,0.77,0.0197,1.154,6.67,-1.845,0.0394,0.0
subsoil,sand,o1,subsoil_sand_o1,0.01,0.36,0.0224,2.167,13.21,0.000,0.0448,0.0
subsoil,sand,o2,subsoil_sand_o2,0.02,0.38,0.0214,2.075,15.56,0.039,0.0428,0.0
subsoil,sand,o3,subsoil_sand_o3,0.01,0.34,0.0211,1.564,18.30,-0.522,0.0422,0.0
subsoil,sand,o4,subsoil_sand_o4,0.00,0.36,0.0216,1.540,53.10,-0.520,0.0432,0.0
subsoil,sand,o5,subsoil_sand_o5,0.01,0.32,0.0597,2.059,43.55,0.343,0.1194,0.0
subsoil,sand,o6,subsoil_sand_o6,0.00,0.41,0.0291,1.152,5.48,-6.864,0.0582,0.0
subsoil,loam,o8,subsoil_loam_o8,0.00,0.47,0.0136,1.342,9.08,-0.803,0.0272,0.0
subsoil,loam,o9,subsoil_loam_o9,0.00,0.46,0.0094,1.400,2.23,-1.382,0.0188,0.0
subsoil,loam,o10,subsoil_loam_o10,0.00,0.49,0.0107,1.280,2.22,-2.123,0.0214,0.0
subsoil,clay,o11,subsoil_clay_o11,0.00,0.42,0.0191,1.152,13.79,-1.384,0.0382,0.0
subsoil,clay,o12,subsoil_clay_o12,0.00,0.56,0.0095,1.159,1.14,-4.171,0.0190,0.0
subsoil,clay,o13,subsoil_clay_o13,0.00,0.57,0.0171,1.110,3.32,-4.645,0.0342,0.0
subsoil,silt,o14,subsoil_silt_o14,0.00,0.38,0.0025,1.686,0.36,0.057,0.0050,0.0
subsoil,silt,o15,subsoil_silt_o15,0.01,0.41,0.0071,1.298,3.70,0.912,0.0142,0.0
subsoil,peat,o16,subsoil_peat_o16,0.00,0.89,0.0103,1.376,1.07,-1.411,0.0206,0.0
subsoil,peat,o17,subsoil_peat_o17,0.00,0.86,0.0127,1.274,2.75,-1.832,0.0254,0.0
