soil,texture,SPU,comment,ORES, OSAT,ALFAD,NPAR,KSAT,LEXP,ALFAW,StaringReeks,
topsoil,sand,b1,topsoil_sand_b1,0.00,0.37,0.0208,1.6460,33.3400,0.5710,0.0208,1987,
topsoil,sand,b2,topsoil_sand_b2,0.00,0.43,0.0224,1.4360,32.2100,-0.3040,0.0224,1987,
topsoil,sand,b3,topsoil_sand_b3,0.00,0.45,0.0152,1.4120,17.8100,-0.2130,0.0152,1987,
topsoil,sand,b4,topsoil_sand_b4,0.00,0.42,0.0163,1.5590,54.8000,0.1770,0.0163,1987,
topsoil,sand,b5,topsoil_sand_b5,0.01,0.36,0.0452,1.9330,52.9100,-0.3590,0.0452,2001,
topsoil,sand,b6,topsoil_sand_b6,0.01,0.38,0.0222,1.2380,100.6900,-1.7470,0.0222,2001,
topsoil,loam,b7,topsoil_loam_b7,0.00,0.40,0.0158,1.2870,25.1000,0.2480,0.0158,1987,
topsoil,loam,b8,topsoil_loam_b8,0.00,0.40,0.0313,1.2000,22.9000,-3.5780,0.0313,1987,
topsoil,loam,b9,topsoil_loam_b9,0.00,0.43,0.0065,1.3250,1.5400,-2.1610,0.0065,1994,
topsoil,clay,b10,topsoil_clay_b10,0.00,0.44,0.0519,1.2160,31.1000,-6.5520,0.0519,1987,
topsoil,clay,b11,topsoil_clay_b11,0.00,0.51,0.1562,1.0990,63.6000,-8.0670,0.1562,1987,
topsoil,clay,b12,topsoil_clay_b12,0.00,0.57,0.1689,1.0680,98.2000,-10.2860,0.1689,1987,
topsoil,silt,b13,topsoil_silt_b13,0.01,0.42,0.0084,1.4410,12.9800,-1.4970,0.0084,2001,
topsoil,silt,b14,topsoil_silt_b14,0.01,0.42,0.0051,1.3050,0.8000,0.0000,0.0051,1994,
topsoil,peat,b15,topsoil_peat_b15,0.01,0.53,0.0242,1.2800,81.2800,-1.4760,0.0242,2001,
topsoil,peat,b16,topsoil_peat_b16,0.00,0.73,0.0134,1.3200,13.4400,0.5340,0.0134,1987,
topsoil,peat,b17,topsoil_peat_b17,0.00,0.72,0.0180,1.1400,4.4600,-0.3500,0.0180,1994,
topsoil,peat,b18,topsoil_peat_b18,0.00,0.71,0.0284,1.1410,34.8000,1.0860,0.0284,1987,
subsoil,sand,o1,subsoil_sand_o1,0.00,0.35,0.0220,2.1860,99.7000,0.7960,0.0220,1987,
subsoil,sand,o2,subsoil_sand_o2,0.00,0.38,0.0182,1.8700,63.9000,0.9110,0.0182,1987,
subsoil,sand,o3,subsoil_sand_o3,0.00,0.34,0.0265,1.5430,44.6000,-0.3330,0.0265,1987,
subsoil,sand,o4,subsoil_sand_o4,0.00,0.36,0.0216,1.5400,53.1000,-0.5200,0.0216,1987,
subsoil,sand,o5,subsoil_sand_o5,0.00,0.33,0.0524,1.9120,223.0000,0.8730,0.0524,1987,
subsoil,sand,o6,subsoil_sand_o6,0.00,0.41,0.0291,1.1520,5.4800,-6.8640,0.0291,1987,
subsoil,sand,o7,subsoil_sand_o7,0.01,0.51,0.0123,1.1520,39.1000,-2.0230,0.0123,2001,
subsoil,loam,o8,subsoil_loam_o8,0.00,0.42,0.0248,1.3210,26.4000,-0.6220,0.0248,1987,
subsoil,loam,o9,subsoil_loam_o9,0.00,0.41,0.0280,1.2830,24.0000,-1.5590,0.0280,1987,
subsoil,loam,o10,subsoil_loam_o10,0.00,0.44,0.0231,1.2120,25.6000,-2.2200,0.0231,1987,
subsoil,clay,o11,subsoil_clay_o11,0.00,0.42,0.0420,1.1250,61.0000,-3.7060,0.0420,1987,
subsoil,clay,o12,subsoil_clay_o12,0.00,0.49,0.0384,1.1130,10.8000,-6.7430,0.0384,1987,
subsoil,clay,o13,subsoil_clay_o13,0.00,0.58,0.1122,1.0630,38.0000,-12.5380,0.1122,1987,
subsoil,silt,o14,subsoil_silt_o14,0.00,0.38,0.0025,1.6860,0.3600,0.0570,0.0025,1994,
subsoil,silt,o15,subsoil_silt_o15,0.00,0.43,0.0207,1.2240,57.4200,-2.0770,0.0207,1987,
subsoil,peat,o16,subsoil_peat_o16,0.00,0.87,0.0179,1.2750,14.6600,0.5390,0.0179,1987,
subsoil,peat,o17,subsoil_peat_o17,0.00,0.89,0.0145,1.2520,30.4500,1.0190,0.0145,1987,
subsoil,peat,o18,subsoil_peat_o18,0.01,0.57,0.0138,1.323,34.4500,-1.2040,0.0138,2001,
