*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\WaterWijzer\Output\starb15.csv
*  version    : 1.0
*  date       : 01-Jun-2015 09:03:27
*  created by : J.G.Wesseling
*  module     : starb15
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 1.6818262592E-02, 1.0000000000E-12
-7.9432823472E+06, 1.8136509527E-02, 1.8407256012E-12
-6.3095734448E+06, 1.9469159239E-02, 3.3874549984E-12
-5.0118723363E+06, 2.0830614506E-02, 6.2308726443E-12
-3.9810717055E+06, 2.2235278106E-02, 1.1452769031E-11
-3.1622776602E+06, 2.3697552817E-02, 2.1030705744E-11
-2.5118864315E+06, 2.5231841415E-02, 3.8572193555E-11
-1.9952623150E+06, 2.6852546678E-02, 7.0642718409E-11
-1.5848931925E+06, 2.8574071384E-02, 1.2916012986E-10
-1.2589254118E+06, 3.0410818311E-02, 2.3569641482E-10
-1.0000000000E+06, 3.2377190235E-02, 4.2917690425E-10
-7.9432823472E+05, 3.4487589935E-02, 7.7960389626E-10
-6.3095734448E+05, 3.6756420188E-02, 1.4124119399E-09
-5.0118723363E+05, 3.9198083771E-02, 2.5514902307E-09
-3.9810717055E+05, 4.1826983463E-02, 4.5948043007E-09
-3.1622776602E+05, 4.4657522040E-02, 8.2466229186E-09
-2.5118864315E+05, 4.7704102280E-02, 1.4747441847E-08
-1.9952623150E+05, 5.0981126961E-02, 2.6271454330E-08
-1.5848931925E+05, 5.4502998861E-02, 4.6609434525E-08
-1.2589254118E+05, 5.8284120756E-02, 8.2334391179E-08
-1.0000000000E+05, 6.2338895424E-02, 1.4477776820E-07
-7.9432823472E+04, 6.6681725644E-02, 2.5335592226E-07
-6.3095734448E+04, 7.1327014192E-02, 4.4112762574E-07
-5.0118723363E+04, 7.6289163846E-02, 7.6400622056E-07
-3.9810717055E+04, 8.1582577384E-02, 1.3159045974E-06
-3.1622776602E+04, 8.7221657582E-02, 2.2534203627E-06
-2.5118864315E+04, 9.3220807220E-02, 3.8357099088E-06
-1.9952623150E+04, 9.9594429073E-02, 6.4882929974E-06
-1.5848931925E+04, 1.0635692592E-01, 1.0904148080E-05
-1.5488166189E+04, 1.0705511824E-01, 1.1480969302E-05
-1.5135612484E+04, 1.0775735773E-01, 1.2087486065E-05
-1.4791083882E+04, 1.0846365881E-01, 1.2725179822E-05
-1.4454397707E+04, 1.0917403588E-01, 1.3395603256E-05
-1.4125375446E+04, 1.0988850334E-01, 1.4100383556E-05
-1.3803842646E+04, 1.1060707558E-01, 1.4841225840E-05
-1.3489628826E+04, 1.1132976702E-01, 1.5619916718E-05
-1.3182567386E+04, 1.1205659206E-01, 1.6438328018E-05
-1.2882495517E+04, 1.1278756510E-01, 1.7298420669E-05
-1.2589254118E+04, 1.1352270054E-01, 1.8202248755E-05
-1.2302687708E+04, 1.1426201279E-01, 1.9151963732E-05
-1.2022644346E+04, 1.1500551624E-01, 2.0149818843E-05
-1.1748975549E+04, 1.1575322531E-01, 2.1198173707E-05
-1.1481536215E+04, 1.1650515438E-01, 2.2299499109E-05
-1.1220184543E+04, 1.1726131788E-01, 2.3456381994E-05
-1.0964781961E+04, 1.1802173020E-01, 2.4671530671E-05
-1.0715193052E+04, 1.1878640573E-01, 2.5947780238E-05
-1.0471285481E+04, 1.1955535890E-01, 2.7288098232E-05
-1.0232929923E+04, 1.2032860409E-01, 2.8695590518E-05
-1.0000000000E+04, 1.2110615571E-01, 3.0173507426E-05
-9.7723722096E+03, 1.2188802816E-01, 3.1725250142E-05
-9.5499258602E+03, 1.2267423585E-01, 3.3354377361E-05
-9.3325430080E+03, 1.2346479318E-01, 3.5064612222E-05
-9.1201083936E+03, 1.2425971455E-01, 3.6859849527E-05
-8.9125093813E+03, 1.2505901436E-01, 3.8744163252E-05
-8.7096358996E+03, 1.2586270703E-01, 4.0721814375E-05
-8.5113803820E+03, 1.2667080694E-01, 4.2797259015E-05
-8.3176377110E+03, 1.2748332850E-01, 4.4975156909E-05
-8.1283051616E+03, 1.2830028612E-01, 4.7260380230E-05
-7.9432823472E+03, 1.2912169420E-01, 4.9658022763E-05
-7.7624711663E+03, 1.2994756714E-01, 5.2173409449E-05
-7.5857757503E+03, 1.3077791934E-01, 5.4812106320E-05
-7.4131024130E+03, 1.3161276521E-01, 5.7579961061E-05
-7.2443596008E+03, 1.3245211915E-01, 6.0484105489E-05
-7.0794578438E+03, 1.3329599556E-01, 6.3533422271E-05
-6.9183097092E+03, 1.3414440885E-01, 6.6737649023E-05
-6.7608297539E+03, 1.3499737341E-01, 7.0107389984E-05
-6.6069344801E+03, 1.3585490366E-01, 7.3654198979E-05
-6.4565422903E+03, 1.3671701398E-01, 7.7390671173E-05
-6.3095734448E+03, 1.3758371880E-01, 8.1330544700E-05
-6.1659500186E+03, 1.3845503250E-01, 8.5488813372E-05
-6.0255958607E+03, 1.3933096950E-01, 8.9881851849E-05
-5.8884365536E+03, 1.4021154418E-01, 9.4527554814E-05
-5.7543993734E+03, 1.4109677097E-01, 9.9445491923E-05
-5.6234132519E+03, 1.4198666425E-01, 1.0465708054E-04
-5.4954087386E+03, 1.4288123844E-01, 1.1018577854E-04
-5.3703179637E+03, 1.4378050794E-01, 1.1605729971E-04
-5.2480746025E+03, 1.4468448714E-01, 1.2229985487E-04
-5.1286138399E+03, 1.4559319045E-01, 1.2894442185E-04
-5.0118723363E+03, 1.4650663228E-01, 1.3602504840E-04
-4.8977881937E+03, 1.4742482702E-01, 1.4357919230E-04
-4.7863009232E+03, 1.4834778908E-01, 1.5164810382E-04
-4.6773514129E+03, 1.4927553287E-01, 1.6027725619E-04
-4.5708818961E+03, 1.5020807278E-01, 1.6951683095E-04
-4.4668359215E+03, 1.5114542322E-01, 1.7942226558E-04
-4.3651583224E+03, 1.5208759858E-01, 1.9005487240E-04
-4.2657951880E+03, 1.5303461329E-01, 2.0147622444E-04
-4.1686938347E+03, 1.5398648172E-01, 2.1372446391E-04
-4.0738027780E+03, 1.5494321830E-01, 2.2682848443E-04
-3.9810717055E+03, 1.5590483742E-01, 2.4081367898E-04
-3.8904514499E+03, 1.5687135348E-01, 2.5570087020E-04
-3.8018939632E+03, 1.5784278089E-01, 2.7150512771E-04
-3.7153522910E+03, 1.5881913405E-01, 2.8823447736E-04
-3.6307805477E+03, 1.5980042736E-01, 3.0588851167E-04
-3.5481338923E+03, 1.6078667523E-01, 3.2445691626E-04
-3.4673685045E+03, 1.6177789205E-01, 3.4391793334E-04
-3.3884415614E+03, 1.6277409224E-01, 3.6423678990E-04
-3.3113112148E+03, 1.6377529019E-01, 3.8536777579E-04
-3.2359365693E+03, 1.6478150030E-01, 4.0729810457E-04
-3.1622776602E+03, 1.6579273699E-01, 4.3004366263E-04
-3.0902954325E+03, 1.6680901465E-01, 4.5362221874E-04
-3.0199517204E+03, 1.6783034768E-01, 4.7805308081E-04
-2.9512092267E+03, 1.6885675049E-01, 5.0335732587E-04
-2.8840315031E+03, 1.6988823749E-01, 5.2955804308E-04
-2.8183829313E+03, 1.7092482306E-01, 5.5668059024E-04
-2.7542287033E+03, 1.7196652162E-01, 5.8475286466E-04
-2.6915348039E+03, 1.7301334757E-01, 6.1380558915E-04
-2.6302679919E+03, 1.7406531531E-01, 6.4387261463E-04
-2.5703957828E+03, 1.7512243925E-01, 6.7499124043E-04
-2.5118864315E+03, 1.7618473378E-01, 7.0720255418E-04
-2.4547089157E+03, 1.7725221331E-01, 7.4055179323E-04
-2.3988329190E+03, 1.7832489225E-01, 7.7508872977E-04
-2.3442288153E+03, 1.7940278499E-01, 8.1086808248E-04
-2.2908676528E+03, 1.8048590594E-01, 8.4794995750E-04
-2.2387211386E+03, 1.8157426950E-01, 8.8640032246E-04
-2.1877616239E+03, 1.8266789007E-01, 9.2629151720E-04
-2.1379620895E+03, 1.8376678206E-01, 9.6770280592E-04
-2.0892961309E+03, 1.8487095987E-01, 1.0107209755E-03
-2.0417379447E+03, 1.8598043790E-01, 1.0554409858E-03
-1.9952623150E+03, 1.8709523056E-01, 1.1019666786E-03
-1.9498445998E+03, 1.8821535225E-01, 1.1504115514E-03
-1.9054607180E+03, 1.8934081736E-01, 1.2008996061E-03
-1.8620871367E+03, 1.9047164031E-01, 1.2535662787E-03
-1.8197008586E+03, 1.9160783549E-01, 1.3085594638E-03
-1.7782794100E+03, 1.9274941732E-01, 1.3660406423E-03
-1.7378008287E+03, 1.9389640018E-01, 1.4261861275E-03
-1.6982436525E+03, 1.9504879849E-01, 1.4891884427E-03
-1.6595869074E+03, 1.9620662665E-01, 1.5552578487E-03
-1.6218100974E+03, 1.9736989905E-01, 1.6246240373E-03
-1.5848931925E+03, 1.9853863011E-01, 1.6975380153E-03
-1.5488166189E+03, 1.9971283422E-01, 1.7742741998E-03
-1.5135612484E+03, 2.0089252580E-01, 1.8551327530E-03
-1.4791083882E+03, 2.0207771923E-01, 1.9404232066E-03
-1.4454397707E+03, 2.0326842893E-01, 2.0304126312E-03
-1.4125375446E+03, 2.0446466929E-01, 2.1253692153E-03
-1.3803842646E+03, 2.0566645473E-01, 2.2255766229E-03
-1.3489628826E+03, 2.0687379963E-01, 2.3313348452E-03
-1.3182567386E+03, 2.0808671841E-01, 2.4429610954E-03
-1.2882495517E+03, 2.0930522547E-01, 2.5607907459E-03
-1.2589254118E+03, 2.1052933521E-01, 2.6851783114E-03
-1.2302687708E+03, 2.1175906203E-01, 2.8164984770E-03
-1.2022644346E+03, 2.1299442034E-01, 2.9551471756E-03
-1.1748975549E+03, 2.1423542453E-01, 3.1015427131E-03
-1.1481536215E+03, 2.1548208902E-01, 3.2561269453E-03
-1.1220184543E+03, 2.1673442820E-01, 3.4193665063E-03
-1.0964781961E+03, 2.1799245648E-01, 3.5917540890E-03
-1.0715193052E+03, 2.1925618826E-01, 3.7738097819E-03
-1.0471285481E+03, 2.2052563794E-01, 3.9660824589E-03
-1.0232929923E+03, 2.2180081993E-01, 4.1691512269E-03
-1.0000000000E+03, 2.2308174863E-01, 4.3836269300E-03
-9.7723722096E+02, 2.2436843844E-01, 4.6101537104E-03
-9.5499258602E+02, 2.2566090376E-01, 4.8494106288E-03
-9.3325430080E+02, 2.2695915899E-01, 5.1021133417E-03
-9.1201083936E+02, 2.2826321855E-01, 5.3690158376E-03
-8.9125093813E+02, 2.2957309697E-01, 5.6509122311E-03
-8.7096358996E+02, 2.3088881735E-01, 5.9486386143E-03
-8.5113803820E+02, 2.3221041620E-01, 6.2630749642E-03
-8.3176377110E+02, 2.3353793118E-01, 6.5951471063E-03
-8.1283051616E+02, 2.3487139998E-01, 6.9458287309E-03
-7.9432823472E+02, 2.3621086027E-01, 7.3161434614E-03
-7.7624711663E+02, 2.3755634971E-01, 7.7071669707E-03
-7.5857757503E+02, 2.3890790598E-01, 8.1200291448E-03
-7.4131024130E+02, 2.4026556676E-01, 8.5559162875E-03
-7.2443596008E+02, 2.4162936971E-01, 9.0160733631E-03
-7.0794578438E+02, 2.4299935251E-01, 9.5018062729E-03
-6.9183097092E+02, 2.4437555284E-01, 1.0014484159E-02
-6.7608297539E+02, 2.4575800836E-01, 1.0555541727E-02
-6.6069344801E+02, 2.4714675674E-01, 1.1126481588E-02
-6.4565422903E+02, 2.4854183567E-01, 1.1728876601E-02
-6.3095734448E+02, 2.4994328281E-01, 1.2364372213E-02
-6.1659500186E+02, 2.5135113583E-01, 1.3034688793E-02
-6.0255958607E+02, 2.5276543241E-01, 1.3741623930E-02
-5.8884365536E+02, 2.5418621022E-01, 1.4487054709E-02
-5.7543993734E+02, 2.5561350694E-01, 1.5272939927E-02
-5.6234132519E+02, 2.5704736023E-01, 1.6101322251E-02
-5.4954087386E+02, 2.5848780778E-01, 1.6974330298E-02
-5.3703179637E+02, 2.5993488724E-01, 1.7894180619E-02
-5.2480746025E+02, 2.6138863630E-01, 1.8863179566E-02
-5.1286138399E+02, 2.6284909263E-01, 1.9883725028E-02
-5.0118723363E+02, 2.6431629389E-01, 2.0958308018E-02
-4.8977881937E+02, 2.6579027777E-01, 2.2089514077E-02
-4.7863009232E+02, 2.6727108194E-01, 2.3280024477E-02
-4.6773514129E+02, 2.6875874406E-01, 2.4532617208E-02
-4.5708818961E+02, 2.7025330182E-01, 2.5850167703E-02
-4.4668359215E+02, 2.7175479288E-01, 2.7235649289E-02
-4.3651583224E+02, 2.7326325491E-01, 2.8692133326E-02
-4.2657951880E+02, 2.7477872560E-01, 3.0222789001E-02
-4.1686938347E+02, 2.7630124260E-01, 3.1830882761E-02
-4.0738027780E+02, 2.7783084361E-01, 3.3519777320E-02
-3.9810717055E+02, 2.7936756628E-01, 3.5292930241E-02
-3.8904514499E+02, 2.8091144829E-01, 3.7153892031E-02
-3.8018939632E+02, 2.8246252731E-01, 3.9106303715E-02
-3.7153522910E+02, 2.8402084102E-01, 4.1153893867E-02
-3.6307805477E+02, 2.8558642709E-01, 4.3300475036E-02
-3.5481338923E+02, 2.8715932319E-01, 4.5549939543E-02
-3.4673685045E+02, 2.8873956700E-01, 4.7906254606E-02
-3.3884415614E+02, 2.9032719618E-01, 5.0373456742E-02
-3.3113112148E+02, 2.9192224841E-01, 5.2955645420E-02
-3.2359365693E+02, 2.9352476137E-01, 5.5656975958E-02
-3.1622776602E+02, 2.9513477271E-01, 5.8481779021E-02
