*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\starb9.csv
*  version    : 1.0
*  date       : 27-May-2015 09:23:11
*  created by : J.G.Wesseling
*  module     : starb9
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 1.4614658894E-02, 6.5156845286E-11
-7.9432823472E+06, 1.5059449213E-02, 9.9154679887E-11
-6.3095734448E+06, 1.5522656944E-02, 1.5090302001E-10
-5.0118723363E+06, 1.6022699495E-02, 2.2969193115E-10
-3.9810717055E+06, 1.6577994277E-02, 3.4969400474E-10
-3.1622776602E+06, 1.7206958702E-02, 5.3254562432E-10
-2.5118864315E+06, 1.7928010178E-02, 8.1130319743E-10
-1.9952623150E+06, 1.8759566118E-02, 1.2365134198E-09
-1.5848931925E+06, 1.9720043930E-02, 1.8855380758E-09
-1.2589254118E+06, 2.0827861027E-02, 2.8768959330E-09
-1.0000000000E+06, 2.2101434817E-02, 4.3923497775E-09
-7.9432823472E+05, 2.3559182713E-02, 6.7109676909E-09
-6.3095734448E+05, 2.5219522123E-02, 1.0261725458E-08
-5.0118723363E+05, 2.7100870459E-02, 1.5704864508E-08
-3.9810717055E+05, 2.9221645131E-02, 2.4057921434E-08
-3.1622776602E+05, 3.1600263550E-02, 3.6891274815E-08
-2.5118864315E+05, 3.4255143125E-02, 5.6632068238E-08
-1.9952623150E+05, 3.7204701268E-02, 8.7037403732E-08
-1.5848931925E+05, 4.0467355389E-02, 1.3393242281E-07
-1.2589254118E+05, 4.4061522899E-02, 2.0636372631E-07
-1.0000000000E+05, 4.8005621207E-02, 3.1840536938E-07
-7.9432823472E+04, 5.2318067724E-02, 4.9199233441E-07
-6.3095734448E+04, 5.7017279862E-02, 7.6137527288E-07
-5.0118723363E+04, 6.2121675029E-02, 1.1801391700E-06
-3.9810717055E+04, 6.7649670637E-02, 1.8322859612E-06
-3.1622776602E+04, 7.3619684097E-02, 2.8497738781E-06
-2.5118864315E+04, 8.0050132818E-02, 4.4403398748E-06
-1.9952623150E+04, 8.6959434211E-02, 6.9317395604E-06
-1.5848931925E+04, 9.4366005687E-02, 1.0842265024E-05
-1.5488166189E+04, 9.5134721759E-02, 1.1339550989E-05
-1.5135612484E+04, 9.5908613124E-02, 1.1859887303E-05
-1.4791083882E+04, 9.6687698199E-02, 1.2404354302E-05
-1.4454397707E+04, 9.7471995400E-02, 1.2974083545E-05
-1.4125375446E+04, 9.8261523147E-02, 1.3570260270E-05
-1.3803842646E+04, 9.9056299855E-02, 1.4194125968E-05
-1.3489628826E+04, 9.9856343942E-02, 1.4846981087E-05
-1.3182567386E+04, 1.0066167383E-01, 1.5530187867E-05
-1.2882495517E+04, 1.0147230793E-01, 1.6245173306E-05
-1.2589254118E+04, 1.0228826466E-01, 1.6993432284E-05
-1.2302687708E+04, 1.0310956243E-01, 1.7776530824E-05
-1.2022644346E+04, 1.0393621968E-01, 1.8596109519E-05
-1.1748975549E+04, 1.0476825481E-01, 1.9453887132E-05
-1.1481536215E+04, 1.0560568624E-01, 2.0351664360E-05
-1.1220184543E+04, 1.0644853239E-01, 2.1291327787E-05
-1.0964781961E+04, 1.0729681168E-01, 2.2274854035E-05
-1.0715193052E+04, 1.0815054252E-01, 2.3304313496E-05
-1.0471285481E+04, 1.0900974333E-01, 2.4381867052E-05
-1.0232929923E+04, 1.0987443252E-01, 2.5509771545E-05
-1.0000000000E+04, 1.1074462853E-01, 2.6690389439E-05
-9.7723722096E+03, 1.1162034976E-01, 2.7926193852E-05
-9.5499258602E+03, 1.1250161462E-01, 2.9219773695E-05
-9.3325430080E+03, 1.1338844155E-01, 3.0573839052E-05
-9.1201083936E+03, 1.1428084895E-01, 3.1991226808E-05
-8.9125093813E+03, 1.1517885524E-01, 3.3474906523E-05
-8.7096358996E+03, 1.1608247885E-01, 3.5027986593E-05
-8.5113803820E+03, 1.1699173818E-01, 3.6653720674E-05
-8.3176377110E+03, 1.1790665166E-01, 3.8355514410E-05
-8.1283051616E+03, 1.1882723770E-01, 4.0136932463E-05
-7.9432823472E+03, 1.1975351471E-01, 4.2001705868E-05
-7.7624711663E+03, 1.2068550113E-01, 4.3953739713E-05
-7.5857757503E+03, 1.2162321536E-01, 4.5997121178E-05
-7.4131024130E+03, 1.2256667582E-01, 4.8136127931E-05
-7.2443596008E+03, 1.2351590094E-01, 5.0375236910E-05
-7.0794578438E+03, 1.2447090912E-01, 5.2719133496E-05
-6.9183097092E+03, 1.2543171878E-01, 5.5172721110E-05
-6.7608297539E+03, 1.2639834834E-01, 5.7741131235E-05
-6.6069344801E+03, 1.2737081623E-01, 6.0429733891E-05
-6.4565422903E+03, 1.2834914085E-01, 6.3244148589E-05
-6.3095734448E+03, 1.2933334063E-01, 6.6190255767E-05
-6.1659500186E+03, 1.3032343397E-01, 6.9274208751E-05
-6.0255958607E+03, 1.3131943931E-01, 7.2502446244E-05
-5.8884365536E+03, 1.3232137505E-01, 7.5881705380E-05
-5.7543993734E+03, 1.3332925961E-01, 7.9419035361E-05
-5.6234132519E+03, 1.3434311142E-01, 8.3121811701E-05
-5.4954087386E+03, 1.3536294888E-01, 8.6997751112E-05
-5.3703179637E+03, 1.3638879042E-01, 9.1054927049E-05
-5.2480746025E+03, 1.3742065446E-01, 9.5301785948E-05
-5.1286138399E+03, 1.3845855940E-01, 9.9747164186E-05
-5.0118723363E+03, 1.3950252367E-01, 1.0440030580E-04
-4.8977881937E+03, 1.4055256569E-01, 1.0927088097E-04
-4.7863009232E+03, 1.4160870387E-01, 1.1436900538E-04
-4.6773514129E+03, 1.4267095663E-01, 1.1970526031E-04
-4.5708818961E+03, 1.4373934239E-01, 1.2529071381E-04
-4.4668359215E+03, 1.4481387956E-01, 1.3113694260E-04
-4.3651583224E+03, 1.4589458657E-01, 1.3725605505E-04
-4.2657951880E+03, 1.4698148182E-01, 1.4366071519E-04
-4.1686938347E+03, 1.4807458374E-01, 1.5036416770E-04
-4.0738027780E+03, 1.4917391075E-01, 1.5738026401E-04
-3.9810717055E+03, 1.5027948126E-01, 1.6472348961E-04
-3.8904514499E+03, 1.5139131369E-01, 1.7240899246E-04
-3.8018939632E+03, 1.5250942646E-01, 1.8045261268E-04
-3.7153522910E+03, 1.5363383798E-01, 1.8887091357E-04
-3.6307805477E+03, 1.5476456667E-01, 1.9768121391E-04
-3.5481338923E+03, 1.5590163095E-01, 2.0690162169E-04
-3.4673685045E+03, 1.5704504924E-01, 2.1655106933E-04
-3.3884415614E+03, 1.5819483995E-01, 2.2664935037E-04
-3.3113112148E+03, 1.5935102151E-01, 2.3721715779E-04
-3.2359365693E+03, 1.6051361232E-01, 2.4827612394E-04
-3.1622776602E+03, 1.6168263081E-01, 2.5984886222E-04
-3.0902954325E+03, 1.6285809539E-01, 2.7195901054E-04
-3.0199517204E+03, 1.6404002448E-01, 2.8463127662E-04
-2.9512092267E+03, 1.6522843651E-01, 2.9789148527E-04
-2.8840315031E+03, 1.6642334987E-01, 3.1176662765E-04
-2.8183829313E+03, 1.6762478301E-01, 3.2628491264E-04
