*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\staro10.csv
*  version    : 1.0
*  date       : 27-May-2015 09:20:53
*  created by : J.G.Wesseling
*  module     : staro10
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 1.0161965331E-02, 1.0000000000E-10
-7.9432823472E+06, 1.2070170603E-02, 1.5582612676E-10
-6.3095734448E+06, 1.3989586308E-02, 2.4280707551E-10
-5.0118723363E+06, 1.5931422879E-02, 3.7830664781E-10
-3.9810717055E+06, 1.7906890746E-02, 5.8934413636E-10
-3.1622776602E+06, 1.9927200344E-02, 9.1794594167E-10
-2.5118864315E+06, 2.2003562105E-02, 1.4294506846E-09
-1.9952623150E+06, 2.4147186460E-02, 2.2253891477E-09
-1.5848931925E+06, 2.6369283843E-02, 3.4634447102E-09
-1.2589254118E+06, 2.8681064687E-02, 5.3883629694E-09
-1.0000000000E+06, 3.1093739423E-02, 8.3797778143E-09
-7.9432823472E+05, 3.3618518485E-02, 1.3026148588E-08
-6.3095734448E+05, 3.6266612304E-02, 2.0238960444E-08
-5.0118723363E+05, 3.9049231313E-02, 3.1428945607E-08
-3.9810717055E+05, 4.1977585946E-02, 4.8777736515E-08
-3.1622776602E+05, 4.5062886633E-02, 7.5656193035E-08
-2.5118864315E+05, 4.8316343809E-02, 1.1726789239E-07
-1.9952623150E+05, 5.1749167905E-02, 1.8163784338E-07
-1.5848931925E+05, 5.5372569354E-02, 2.8112982446E-07
-1.2589254118E+05, 5.9197758588E-02, 4.3477209304E-07
-1.0000000000E+05, 6.3235946041E-02, 6.7181754087E-07
-7.9432823472E+04, 6.7498342144E-02, 1.0371862350E-06
-6.3095734448E+04, 7.1996157329E-02, 1.5997741056E-06
-5.0118723363E+04, 7.6740602031E-02, 2.4651189525E-06
-3.9810717055E+04, 8.1742886680E-02, 3.7946802249E-06
-3.1622776602E+04, 8.7014221711E-02, 5.8351410626E-06
-2.5118864315E+04, 9.2565817554E-02, 8.9628719760E-06
-1.9952623150E+04, 9.8408884643E-02, 1.3750724508E-05
-1.5848931925E+04, 1.0455463341E-01, 2.1051869086E-05
-1.5488166189E+04, 1.0518628738E-01, 2.1963883467E-05
-1.5135612484E+04, 1.0582109148E-01, 2.2914503529E-05
-1.4791083882E+04, 1.0645905693E-01, 2.3905282735E-05
-1.4454397707E+04, 1.0710019492E-01, 2.4937831611E-05
-1.4125375446E+04, 1.0774451668E-01, 2.6013819507E-05
-1.3803842646E+04, 1.0839203342E-01, 2.7134976397E-05
-1.3489628826E+04, 1.0904275633E-01, 2.8303094708E-05
-1.3182567386E+04, 1.0969669664E-01, 2.9520031186E-05
-1.2882495517E+04, 1.1035386556E-01, 3.0787708797E-05
-1.2589254118E+04, 1.1101427429E-01, 3.2108118652E-05
-1.2302687708E+04, 1.1167793404E-01, 3.3483321971E-05
-1.2022644346E+04, 1.1234485603E-01, 3.4915452074E-05
-1.1748975549E+04, 1.1301505147E-01, 3.6406716399E-05
-1.1481536215E+04, 1.1368853157E-01, 3.7959398549E-05
-1.1220184543E+04, 1.1436530753E-01, 3.9575860367E-05
-1.0964781961E+04, 1.1504539057E-01, 4.1258544028E-05
-1.0715193052E+04, 1.1572879189E-01, 4.3009974162E-05
-1.0471285481E+04, 1.1641552272E-01, 4.4832759991E-05
-1.0232929923E+04, 1.1710559425E-01, 4.6729597486E-05
-1.0000000000E+04, 1.1779901771E-01, 4.8703271542E-05
-9.7723722096E+03, 1.1849580429E-01, 5.0756658163E-05
-9.5499258602E+03, 1.1919596522E-01, 5.2892726658E-05
-9.3325430080E+03, 1.1989951169E-01, 5.5114541849E-05
-9.1201083936E+03, 1.2060645493E-01, 5.7425266273E-05
-8.9125093813E+03, 1.2131680613E-01, 5.9828162401E-05
-8.7096358996E+03, 1.2203057652E-01, 6.2326594839E-05
-8.5113803820E+03, 1.2274777730E-01, 6.4924032533E-05
-8.3176377110E+03, 1.2346841969E-01, 6.7624050958E-05
-8.1283051616E+03, 1.2419251488E-01, 7.0430334299E-05
-7.9432823472E+03, 1.2492007411E-01, 7.3346677603E-05
-7.7624711663E+03, 1.2565110856E-01, 7.6376988919E-05
-7.5857757503E+03, 1.2638564170E-01, 7.9525291400E-05
-7.4131024130E+03, 1.2712377243E-01, 8.2795725374E-05
-7.2443596008E+03, 1.2786562842E-01, 8.6192550378E-05
-7.0794578438E+03, 1.2861133737E-01, 8.9720147144E-05
-6.9183097092E+03, 1.2936102701E-01, 9.3383019530E-05
-6.7608297539E+03, 1.3011482504E-01, 9.7185796400E-05
-6.6069344801E+03, 1.3087285917E-01, 1.0113323343E-04
-6.4565422903E+03, 1.3163525713E-01, 1.0523021487E-04
-6.3095734448E+03, 1.3240214661E-01, 1.0948175516E-04
-6.1659500186E+03, 1.3317365534E-01, 1.1389300054E-04
-6.0255958607E+03, 1.3394991103E-01, 1.1846923054E-04
-5.8884365536E+03, 1.3473104139E-01, 1.2321585931E-04
-5.7543993734E+03, 1.3551717413E-01, 1.2813843691E-04
-5.6234132519E+03, 1.3630843698E-01, 1.3324265048E-04
-5.4954087386E+03, 1.3710495763E-01, 1.3853432521E-04
-5.3703179637E+03, 1.3790686380E-01, 1.4401942524E-04
-5.2480746025E+03, 1.3871428321E-01, 1.4970405439E-04
-5.1286138399E+03, 1.3952734358E-01, 1.5559445671E-04
-5.0118723363E+03, 1.4034617260E-01, 1.6169701690E-04
-4.8977881937E+03, 1.4117089800E-01, 1.6801826054E-04
-4.7863009232E+03, 1.4200164749E-01, 1.7456485406E-04
-4.6773514129E+03, 1.4283854878E-01, 1.8134360465E-04
-4.5708818961E+03, 1.4368172958E-01, 1.8836145981E-04
-4.4668359215E+03, 1.4453131761E-01, 1.9562550678E-04
-4.3651583224E+03, 1.4538744058E-01, 2.0314297167E-04
-4.2657951880E+03, 1.4625022621E-01, 2.1092121837E-04
-4.1686938347E+03, 1.4711980220E-01, 2.1896774721E-04
-4.0738027780E+03, 1.4799629628E-01, 2.2729019328E-04
-3.9810717055E+03, 1.4887983614E-01, 2.3589632459E-04
-3.8904514499E+03, 1.4977054951E-01, 2.4479403978E-04
-3.8018939632E+03, 1.5066856410E-01, 2.5399136564E-04
-3.7153522910E+03, 1.5157400763E-01, 2.6349645425E-04
-3.6307805477E+03, 1.5248700780E-01, 2.7331757976E-04
-3.5481338923E+03, 1.5340769232E-01, 2.8346313487E-04
-3.4673685045E+03, 1.5433618892E-01, 2.9394162694E-04
-3.3884415614E+03, 1.5527262530E-01, 3.0476167366E-04
-3.3113112148E+03, 1.5621712918E-01, 3.1593199841E-04
-3.2359365693E+03, 1.5716982827E-01, 3.2746142517E-04
-3.1622776602E+03, 1.5813085028E-01, 3.3935887304E-04
-3.0902954325E+03, 1.5910032293E-01, 3.5163335028E-04
-3.0199517204E+03, 1.6007837392E-01, 3.6429394798E-04
-2.9512092267E+03, 1.6106513098E-01, 3.7734983319E-04
-2.8840315031E+03, 1.6206072182E-01, 3.9081024172E-04
-2.8183829313E+03, 1.6306527414E-01, 4.0468447027E-04
-2.7542287033E+03, 1.6407891567E-01, 4.1898186827E-04
-2.6915348039E+03, 1.6510177411E-01, 4.3371182906E-04
-2.6302679919E+03, 1.6613397717E-01, 4.4888378068E-04
-2.5703957828E+03, 1.6717565258E-01, 4.6450717607E-04
