*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\WaterWijzer\Output\staro12.csv
*  version    : 1.0
*  date       : 01-Jun-2015 09:05:27
*  created by : J.G.Wesseling
*  module     : staro12
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 3.6046429757E-02, 1.6675487543E-08
-7.9432823472E+06, 3.9282714328E-02, 2.0976032767E-08
-6.3095734448E+06, 4.2534137242E-02, 2.6389673921E-08
-5.0118723363E+06, 4.5815836839E-02, 3.3210576360E-08
-3.9810717055E+06, 4.9142951461E-02, 4.1813486137E-08
-3.1622776602E+06, 5.2530619452E-02, 5.2676847677E-08
-2.5118864315E+06, 5.5993979152E-02, 6.6412904109E-08
-1.9952623150E+06, 5.9548168903E-02, 8.3807004467E-08
-1.5848931925E+06, 6.3208327048E-02, 1.0586908887E-07
-1.2589254118E+06, 6.6989591928E-02, 1.3390133381E-07
-1.0000000000E+06, 7.0907101886E-02, 1.6958731317E-07
-7.9432823472E+05, 7.4975995263E-02, 2.1510990257E-07
-6.3095734448E+05, 7.9211410400E-02, 2.7330771666E-07
-5.0118723363E+05, 8.3628485641E-02, 3.4788338663E-07
-3.9810717055E+05, 8.8242359327E-02, 4.4368183504E-07
-3.1622776602E+05, 9.3068169799E-02, 5.6706341661E-07
-2.5118864315E+05, 9.8121055401E-02, 7.2640611807E-07
-1.9952623150E+05, 1.0341615447E-01, 9.3278401817E-07
-1.5848931925E+05, 1.0896860536E-01, 1.2008874288E-06
-1.2589254118E+05, 1.1479354640E-01, 1.5502757659E-06
-1.0000000000E+05, 1.2090611593E-01, 2.0070904020E-06
-7.9432823472E+04, 1.2732145231E-01, 2.6064061109E-06
-6.3095734448E+04, 1.3405469386E-01, 3.3954729118E-06
-5.0118723363E+04, 1.4112097894E-01, 4.4382048909E-06
-3.9810717055E+04, 1.4853544588E-01, 5.8214232572E-06
-3.1622776602E+04, 1.5631323302E-01, 7.6635785936E-06
-2.5118864315E+04, 1.6446947872E-01, 1.0126993322E-05
-1.9952623150E+04, 1.7301932130E-01, 1.3435126476E-05
-1.5848931925E+04, 1.8197789912E-01, 1.7897038862E-05
-1.5488166189E+04, 1.8289682016E-01, 1.8421944058E-05
-1.5135612484E+04, 1.8381999508E-01, 1.8963052327E-05
-1.4791083882E+04, 1.8474743901E-01, 1.9520889358E-05
-1.4454397707E+04, 1.8567916710E-01, 2.0095998723E-05
-1.4125375446E+04, 1.8661519447E-01, 2.0688942513E-05
-1.3803842646E+04, 1.8755553627E-01, 2.1300302001E-05
-1.3489628826E+04, 1.8850020763E-01, 2.1930678324E-05
-1.3182567386E+04, 1.8944922370E-01, 2.2580693193E-05
-1.2882495517E+04, 1.9040259961E-01, 2.3250989633E-05
-1.2589254118E+04, 1.9136035051E-01, 2.3942232741E-05
-1.2302687708E+04, 1.9232249152E-01, 2.4655110482E-05
-1.2022644346E+04, 1.9328903779E-01, 2.5390334512E-05
-1.1748975549E+04, 1.9426000445E-01, 2.6148641028E-05
-1.1481536215E+04, 1.9523540665E-01, 2.6930791655E-05
-1.1220184543E+04, 1.9621525952E-01, 2.7737574364E-05
-1.0964781961E+04, 1.9719957820E-01, 2.8569804424E-05
-1.0715193052E+04, 1.9818837784E-01, 2.9428325392E-05
-1.0471285481E+04, 1.9918167356E-01, 3.0314010138E-05
-1.0232929923E+04, 2.0017948050E-01, 3.1227756459E-05
-1.0000000000E+04, 2.0118181381E-01, 3.2170439071E-05
-9.7723722096E+03, 2.0218868862E-01, 3.3142927137E-05
-9.5499258602E+03, 2.0320012008E-01, 3.4146111745E-05
-9.3325430080E+03, 2.0421612331E-01, 3.5180906544E-05
-9.1201083936E+03, 2.0523671346E-01, 3.6248248059E-05
-8.9125093813E+03, 2.0626190566E-01, 3.7349096001E-05
-8.7096358996E+03, 2.0729171506E-01, 3.8484433557E-05
-8.5113803820E+03, 2.0832615680E-01, 3.9655267675E-05
-8.3176377110E+03, 2.0936524600E-01, 4.0862629328E-05
-8.1283051616E+03, 2.1040899781E-01, 4.2107573762E-05
-7.9432823472E+03, 2.1145742737E-01, 4.3391180732E-05
