*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\WaterWijzer\Output\staro14.csv
*  version    : 1.0
*  date       : 02-Jul-2015 01:59:57
*  created by : J.G.Wesseling
*  module     : staro14
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 5.3075869512000E-03, 1.0000000000E-16
-7.9432823472E+06, 5.3163842424118E-03, 2.1546589456E-16
-6.3095734448E+06, 5.3251815336235E-03, 4.6425272696E-16
-5.0118723363E+06, 5.3339788248353E-03, 1.0002882555E-15
-3.9810717055E+06, 5.3427761160471E-03, 2.1552023185E-15
-3.1622776602E+06, 5.3515734072588E-03, 4.6434468708E-15
-2.5118864315E+06, 5.3603706984706E-03, 1.0004142409E-14
-1.9952623150E+06, 5.3691679896824E-03, 2.1552794537E-14
-1.5848931925E+06, 5.3779652808941E-03, 4.6431107333E-14
-1.2589254118E+06, 5.3867625721059E-03, 1.0002155739E-13
-1.0000000000E+06, 5.3955598633177E-03, 2.1545406494E-13
-7.9432823472E+05, 5.4043571545294E-03, 4.6407659986E-13
-6.3095734448E+05, 5.4131544457412E-03, 9.9953023817E-13
-5.0118723363E+05, 5.4219517369529E-03, 2.1526374017E-12
-3.9810717055E+05, 5.4307490281647E-03, 4.6356634063E-12
-3.1622776602E+05, 5.4395463193765E-03, 9.9819724066E-12
-2.5118864315E+05, 5.4483436105882E-03, 2.1492240078E-11
-1.9952623150E+05, 5.4571409018E-03, 4.6270611485E-11
-1.5848931925E+05, 5.6812380403E-03, 9.9605752770E-11
-1.2589254118E+05, 6.0845193746E-03, 2.1439597228E-10
-1.0000000000E+05, 6.7267129698E-03, 4.6142299061E-10
-7.9432823472E+04, 7.6675468913E-03, 9.9295515289E-10
-6.3095734448E+04, 8.9667492044E-03, 2.1365114513E-09
-5.0118723363E+04, 1.0684047974E-02, 4.5964590200E-09
-3.9810717055E+04, 1.2879171266E-02, 9.8873868501E-09
-3.1622776602E+04, 1.5611847145E-02, 2.1265569454E-08
-2.5118864315E+04, 1.8941803677E-02, 4.5730637253E-08
-1.9952623150E+04, 2.2928768926E-02, 9.8326283845E-08
-1.5848931925E+04, 2.7632470959E-02, 2.1137884665E-07
-1.5488166189E+04, 2.8144561215E-02, 2.2819006769E-07
-1.5135612484E+04, 2.8664475849E-02, 2.4633674601E-07
-1.4791083882E+04, 2.9192274587E-02, 2.6591811036E-07
-1.4454397707E+04, 2.9728017157E-02, 2.8703799605E-07
-1.4125375446E+04, 3.0271763289E-02, 3.0980621474E-07
-1.3803842646E+04, 3.0823572709E-02, 3.3433868458E-07
-1.3489628826E+04, 3.1383505146E-02, 3.6075753123E-07
-1.3182567386E+04, 3.1951620328E-02, 3.8919115440E-07
-1.2882495517E+04, 3.2527977983E-02, 4.1977425420E-07
-1.2589254118E+04, 3.3112637839E-02, 4.5264781098E-07
-1.2302687708E+04, 3.3705659625E-02, 4.8795901198E-07
-1.2022644346E+04, 3.4307103067E-02, 5.2586111780E-07
-1.1748975549E+04, 3.4917027895E-02, 5.6651326111E-07
-1.1481536215E+04, 3.5535493836E-02, 6.1008016983E-07
-1.1220184543E+04, 3.6162560618E-02, 6.5673180682E-07
